fecha,nombre
01/01/2026,Año Nuevo
06/01/2026,Epifanía del Señor
02/04/2026,Jueves Santo
03/04/2026,Viernes Santo
01/05/2026,Fiesta del Trabajo
02/05/2026,Fiesta de la Comunidad de Madrid
15/05/2026,San Isidro (festivo local en Madrid capital)
15/08/2026,Asunción de la Virgen
12/10/2026,Fiesta Nacional de España
02/11/2026,Traslado de Todos los Santos
09/11/2026,Nuestra Señora de la Almudena (festivo local en Madrid capital)
07/12/2026,Traslado del Día de la Constitución Española
08/12/2026,Inmaculada Concepción
25/12/2026,Natividad del Señor
